"room_name","refundable_rate","rate_id","stay_date","amount","breakfast","lunch","dinner","adultcount","childcount","infantcount","nights","ota_room_id","rate_update_id","refundable","rate_plan_code","date_update","availability","report_date"
"Classic Double","329.00","51867665637","2024-08-16","329.00",False,False,False,2,0,0,1,"606651","34810000022877",False,NULL,"2024-07-13 01:00:31",7,"2024-07-13"
"Classic Double","329.00","51867665676","2024-08-17","329.00",False,False,False,2,0,0,1,"606651","34810000022877",True,NULL,"2024-07-13 01:00:31",7,"2024-07-13"
"Classic Double","369.00","51867665678","2024-08-17","369.00",True,False,False,2,0,0,1,"606651","34810000022877",True,NULL,"2024-07-13 01:00:31",7,"2024-07-13"
"Classic Double","339.00","51867665669","2024-08-17","339.00",True,False,False,2,0,0,1,"606651","34810000022877",False,NULL,"2024-07-13 01:00:31",7,"2024-07-13"
"Classic Double","299.00","51867665667","2024-08-17","299.00",False,False,False,2,0,0,1,"606651","34810000022877",False,NULL,"2024-07-13 01:00:31",7,"2024-07-13"
"Classic Double","349.00","51867665662","2024-08-17","349.00",True,False,False,1,0,0,1,"606651","34810000022877",True,NULL,"2024-07-13 01:00:31",7,"2024-07-13"
"Classic Double","319.00","51867665657","2024-08-17","319.00",True,False,False,1,0,0,1,"606651","34810000022877",False,NULL,"2024-07-13 01:00:31",7,"2024-07-13"
"Classic Double","219.00","51867665708","2024-08-18","219.00",False,False,False,2,0,0,1,"606651","34810000022877",True,NULL,"2024-07-13 01:00:31",7,"2024-07-13"
"Classic Double","199.00","51867665699","2024-08-18","199.00",False,False,False,2,0,0,1,"606651","34810000022877",False,NULL,"2024-07-13 01:00:31",7,"2024-07-13"
"Classic Double","219.00","51867665689","2024-08-18","219.00",True,False,False,1,0,0,1,"606651","34810000022877",False,NULL,"2024-07-13 01:00:31",7,"2024-07-13"
"Classic Double","259.00","51867665712","2024-08-18","259.00",True,False,False,2,0,0,1,"606651","34810000022877",True,NULL,"2024-07-13 01:00:31",7,"2024-07-13"
"Classic Double","239.00","51867665694","2024-08-18","239.00",True,False,False,1,0,0,1,"606651","34810000022877",True,NULL,"2024-07-13 01:00:31",7,"2024-07-13"
"Classic Double","239.00","51867665703","2024-08-18","239.00",True,False,False,2,0,0,1,"606651","34810000022877",False,NULL,"2024-07-13 01:00:31",7,"2024-07-13"
"Classic Double","259.00","51867665733","2024-08-19","259.00",True,False,False,2,0,0,1,"606651","34810000022877",False,NULL,"2024-07-13 01:00:31",7,"2024-07-13"
"Classic Double","259.00","51867665725","2024-08-19","259.00",True,False,False,1,0,0,1,"606651","34810000022877",True,NULL,"2024-07-13 01:00:31",7,"2024-07-13"
